b2ret;b10ret
0.001144;-0.0124
-0.001417;-0.009797
0.006842000000000001;0.013598
0.006593000000000001;0.034752
0.001496;-0.010026
0.004925000000000001;0.001771
0.011403;0.022074
0.006752;0.00464
0.007772;0.016603
0.007983;-0.001323
0.006054;0.008647
0.010289;0.025641
0.012919;0.030723
0.013519;0.004164
0.006873000000000001;0.011636
0.007193000000000001;0.00275
0.002154;-0.027449
0.005381;0.001373
0.003227;0.002161
0.01311;0.030526
0.007129000000000001;0.015065
0.017807;0.022599
0.012043;0.031821
-0.005276;-0.035211
0.00025;-0.017354
0.002636;0.004609
0.0054;0.012027
-0.008508;-0.03679
0.013578;0.029382
0.004414;0.008136000000000001
0.009430000000000001;0.021555
0.015878;0.03077
0.004572000000000001;0.030178
0.010277;0.04689
0.002358;-0.020221
-0.005049000000000001;-0.021163
0.011089;0.035968
0.000875;-0.008285
0.005203;0.02623
0.0019;-0.005651000000000001
0.001626;-6.9e-05
0.004609;0.042443
0.0022;-0.009082
-0.006811;-0.066819
-0.002283;0.004672
0.01215;0.046768
-0.0051;-0.024426
-0.001446;0.001662
0.006885;0.010311
0.002965;0.012966
0.00532;0.017481
0.003441;0.014353
-0.012968;-0.04909
-0.001439;-0.006666
0.000646;0.010107
0.003181;0.01208
0.008366;0.032183
-0.001396;0.002804
0.003467;0.011144
-0.00572;-0.017663
0.001828;0.013398
-0.000905;0.009351
-0.002707;-0.013112
0.000109;-0.004518
0.006062000000000001;0.026104
0.004763;0.018363
0.001778;0.009046
-0.004307;-0.021346
0.007228;0.020806
-0.003314;-0.018281
-0.000763;-0.011898
0.003289;0.006295
0.003983;0.011198
0.001664;-0.004563
0.000597;0.000153
0.001006;-0.019782
0.002915;-0.008795
0.001361;-0.001047
0.0015;0.003077
0.008253;0.016418
0.0073;0.021575
0.004989;0.011343
0.003894;0.007074
0.005344000000000001;0.013674
-0.0006050000000000001;-0.015746
0.001951;-0.0036
0.008344;0.019999
0.004382;-0.002247
0.003723;0.006799
-0.001889;-0.014483
0.004189;-0.006804
0.010287;0.023884
0.010008;0.01713
0.006878;-0.00044
0.004278000000000001;0.013082
0.020658;0.044192
0.001824;-0.003627
0.020304;0.038355
0.009926;0.009265
0.003037;0.011256
-0.012268;-0.016442
-0.005992000000000001;-0.018756
0.003551;0.010754
0.00523;0.005155000000000001
0.004534000000000001;0.015313
0.010026;0.000875
0.012592;-0.028592
0.012121;0.085378
0.006517;0.056872
-0.004086;-0.044454
-0.000711;-0.00192
0.005159;0.03291
-0.001117;-0.035782
0.000831;-0.016442
-0.002294;0.002851
0.00192;0.008263000000000001
0.004433;0.010147
0.002416;0.010322
0.002946;-0.003575
0.006743000000000001;0.018977
-0.006970000000000001;-0.037937
0.008927000000000001;0.020794
0.001837;0.002013
-0.001592;-0.014015
0.002381;0.016503
0.005645000000000001;0.025297
0.004265000000000001;0.033851
0.001881;0.007935000000000001
0.001747;0.035527
0.001503;-0.001971
0.002339;-0.005208
-0.002914;-0.007214000000000001
-0.001872;-0.038909
0.001807;-0.000224
-0.00124;-0.000203
-0.001361;-0.000481
0.005492;0.014547
0.003772;0.024937
0.001331;-0.005928
0.002698;0.031082
0.003605;0.047503
-0.001143;0.029468
0.001335;-0.012101
0.000186;0.008685
0.000491;0.019019
0.0008640000000000001;0.008827
-0.001303;-0.010592
-0.000274;-0.019458
0.002289;0.028413
0.00029;0.03144
-0.000607;-0.006625000000000001
0.002624;0.015792
-0.000251;-0.002442
1.9e-05;-0.006372
-0.0005740000000000001;-0.002909
0.00103;0.009380000000000001
0.000428;-0.008797000000000001
0.000317;-0.014939
0.000928;0.011635
4.5e-05;0.003768
0.001233;0.017563
-0.001478;-0.031221
-0.000671;-0.029891
0.001729;-0.004527000000000001
-0.001446;-0.012869
0.002603;0.017924
0.000952;0.006915
0.000946;-0.012242
-0.001519;-0.021754
0.001843;0.035655
0.001181;0.004406
-0.000862;-0.003934
0.001172;0.008401
0.001989;0.019114
-0.000501;-0.002418
-0.000246;-0.00016
0.001195;0.018782
-6.8e-05;-0.010631
0.00262;0.013129
0.001547;0.014195
-0.002899;0.001414
0.0053;0.042437
-0.002444;-0.025087
0.002385;0.008165
0.000965;-0.007956000000000001
0.000521;-0.003817
0.000394;-0.018369
0.00075;0.015146
-0.00093;-0.001192
0.003996;0.017817
-0.001092;-0.007517
-0.002638;-0.0035
-0.000921;-0.003769
0.006105;0.02975
0.001411;0.016709
0.001865;-0.001442
-0.000426;-0.004458
-0.001043;0.001216
0.006537;0.033345
-0.000304;0.003269
-0.002592;-0.007940000000000001
0.001262;-0.001325
-0.000428;-0.015542
-0.003813;-0.040878
-0.000514;-0.003537
0.000848;0.002167
0.000628;0.007423000000000001
0.001442;0.002424
0.001317;0.011063
0.001096;0.007856
-0.0007520000000000001;-0.001307
0.001994;-7e-06
0.001622;0.017123
-0.001865;-0.017151
-0.0007880000000000001;-0.001133
-0.001773;-0.002607
-0.000203;0.002222
-0.003274;-0.023598
-0.000346;-0.013002
0.001743;0.012783
-0.001777;-0.015476
0.003656;0.009592
-2.1e-05;0.00226
-0.000186;-0.005108000000000001
0.003675;0.010064
-0.001759;-0.014807
0.00183;-0.004347
0.004099;0.014917
0.008316;0.028561
0.002568;0.007138
0.00061;-0.004272000000000001
0.006961;0.029419
0.001933;-0.006214000000000001
0.008164000000000001;0.031854
0.004399;0.012073
-0.000671;0.003435
0.008336;0.040344
-0.001297;-0.013852
0.003274;-0.000742
-0.001038;-0.007410000000000001
0.002274;-0.011292
0.006337000000000001;0.039182
0.008698000000000001;0.029902
0.014069;0.039709
0.001034;0.005024000000000001
0.000826;0.000713
0.000515;0.000388
0.00103;0.012821
-0.000208;-0.014709
-0.000174;0.00256
-0.000383;-0.01731
0.0005740000000000001;0.004016
0.000738;-0.004965000000000001
0.000219;-0.010713
-0.000589;-0.025385
-0.00011;-0.029342
0.000416;0.011851
0.000776;0.003441
-0.001829;0.014084
0.001813;0.023829
-0.000396;-0.004837
-0.000647;-0.015425
-0.003959;-0.004896
-0.000134;0.012455
-0.002055;-0.00475
-0.007246000000000001;-0.022542
-0.004643;-0.003021
-0.015126;-0.043484
-0.004147000000000001;-0.049388
0.006489;0.01002
-0.005624000000000001;-0.012064
0.004318000000000001;0.033719
-0.008112000000000001;-0.043289
-0.012865;-0.050056
0.000223;-0.014968
0.00807;0.040789
0.000845;-0.018566
